,date_CSCO,open_CSCO,close_CSCO,volume_CSCO,high_CSCO,low_CSCO,last_CSCO,date_MRK,open_MRK,close_MRK,volume_MRK,high_MRK,low_MRK,last_MRK,date_MSFT,open_MSFT,close_MSFT,volume_MSFT,high_MSFT,low_MSFT,last_MSFT
0,2018-06-12,43.59297748198105,43.66572464962207,246846.9401887792,43.89861586351383,43.39082103817589,,2018-06-12,62.507520334917004,62.11445419970586,123319.30892939094,62.60319500350499,61.89779598192723,,2018-06-12,101.11299322636226,101.03213670283442,270252.21694659395,101.6565496861471,100.80040812558445,
1,2018-06-13,43.65294168598866,43.91558575068724,287732.55157753587,43.9286038508446,43.420789666809334,,2018-06-13,62.10919282990636,62.224077335224976,135835.94739929275,62.35421773467405,61.827999909301965,,2018-06-13,101.20308132567008,101.29208524081892,210823.16667261467,101.51645858049837,100.88051359263306,
2,2018-06-14,43.99273121736345,43.98554655397927,399423.8709941629,44.50831949709154,43.790369730006134,,2018-06-14,62.308354591868955,62.37355618551851,161431.2242904582,62.70278750362552,62.167003141087264,,2018-06-14,101.82371623498258,100.83216748740911,339302.52179287304,102.07683063748601,100.69026501821206,
3,2018-06-15,44.20260021288884,44.66516905388277,393482.44255123567,44.78818577275153,44.00013107854659,,2018-06-15,61.81044819641975,61.347120138917305,204830.80155499314,62.12515578069091,61.04032073629611,,2018-06-15,101.7536451675742,101.40206640229145,295572.5794817782,102.09684038069611,101.13083744770164,
4,2018-06-18,44.33252074873824,44.225414888536086,808895.9146017572,44.50831949709154,43.54065275020692,,2018-06-18,61.33245519040699,61.8154925151409,281973.0527480592,61.84630155811788,61.04032073629611,,2018-06-18,101.61350303275745,100.11229356796918,756292.9640399202,101.59651282212413,100.19963240127545,
5,2018-06-19,43.84282261351151,44.185436197346974,288723.60870683583,44.398372440172274,43.3408784042918,,2018-06-19,61.093458687400606,60.7790885558682,163336.56991016524,61.109323427578566,60.412168040876516,,2018-06-19,100.1119736135719,100.84216785519176,271346.29958419496,101.1762395051779,99.5487888502416,
6,2018-06-20,43.59297748198105,43.795653489697756,363647.527681913,43.998569466549576,43.39082103817589,,2018-06-20,60.3963825678179,60.8189522385984,171696.4131966726,61.059527177518305,60.45205264982503,,2018-06-20,99.7516059419935,100.84216785519176,329641.0012980538,101.06616683154066,99.62889431729023,
7,2018-06-21,43.922774885521655,43.715699919897375,348532.67787687044,43.968585292058904,43.65052883097917,,2018-06-21,60.80467074863221,61.068086311739556,208572.93906786802,61.22883522401728,60.61158311348055,,2018-06-21,101.47336089794068,101.8519914159642,301198.30408521544,102.5871592504667,101.25099564827457,
8,2018-06-22,43.662933813822846,43.13602033538881,342764.8891954404,43.758684632103886,43.011253972353764,,2018-06-22,61.01379318639848,60.96843507286982,152648.1561613095,61.01969256635232,60.631525417954805,,2018-06-22,102.184083906561,101.1221171287416,266884.8353690355,102.52712238644372,101.01067924712872,
9,2018-06-25,43.31315215461387,43.17599902657791,449825.26893515675,43.42884727418617,42.84144444469336,,2018-06-25,61.0237498811167,61.2574288447633,210680.46340982273,61.667035854195,61.04032073629611,,2018-06-25,100.51238298612276,100.39225046956462,447792.72251952766,100.83601279546475,99.75905997178587,
10,2018-06-26,42.663553287701006,42.266504771203785,468937.10947654955,42.79915292000131,41.76266907335767,,2018-06-26,61.153206817880836,60.86877985002221,180781.0327048554,61.36826233530379,60.462021809027526,,2018-06-26,100.10196127903541,98.37260334801974,407644.14640280907,100.17558438803394,97.42604744839795,
11,2018-06-27,42.453684292175616,42.526358638777324,363188.85661380726,43.118996824035506,42.342010485094924,,2018-06-27,60.575630940344055,60.51002264136195,205545.31024977457,60.77071131605099,60.43211034535077,,2018-06-27,98.92075783045586,99.06248379215728,309440.1631974904,100.14556595602244,98.87792275208453,
12,2018-06-28,42.70352942370608,42.3064834623929,340641.8973944937,43.12899409075912,42.23213440432267,,2018-06-28,60.44617400357991,59.67292912778448,179007.6280756496,60.83046920500554,59.62448886787066,,2018-06-28,99.68153487458511,97.52275515958756,360073.98553828406,100.08552145760679,97.52617546256981,
13,2018-06-29,42.30377950065784,42.91614134642654,363622.9560175502,43.16897171913333,42.23213440432267,,2018-06-29,59.85864143132491,60.09147787656215,174802.86326819932,60.501814750901865,59.813930795202936,,2018-06-29,97.4792871441422,98.61255877848451,306604.2917971892,99.17492927088996,97.38599471487365,
14,2018-07-02,43.02333088707833,43.00609149531312,336187.8737009952,43.478822169283994,42.92135570721089,,2018-07-02,60.27688630685744,60.49009079999684,244539.64433938384,61.218873585123,60.17287234539324,,2018-07-02,99.03087059883667,98.59256567096479,322739.42217821325,99.97545641836221,98.457380508996,
